Smiles,Standard Value
BrC=1C=Cc2n(C=1)c(cn2)\C=N\N(S(=O)(=O)c1cc([N+](=O)[O-])ccc1C)C,1
BrCC(=O)N(S(=O)(=O)c1cc(Cl)sc1Cl)c1ccccc1,0
Brc1cc(F)c(Nc2ncnc3c2cc(OC)c(OCC2CC[NH+](CC2)C)c3)cc1,0
Brc1cc(ccc1)CNc1ncnc2n(cnc12)C1CC(NC(=O)c2nc(ccc2)C)C1,1
Brc1cc(cnc1)-c1sc(nc1)Nc1[nH+]ccc(N2CC[NH2+]CC2)c1,1
Brc1cc2NC(=O)/C(/c2cc1)=C/1\Nc2c(cccc2)\C\1=N/O,0
Brc1n(nc2c1CCN([C@H]1COc3c(N(C)C1=O)cccc3)C2=O)Cc1ccccc1,1
Brc1nc-2n(cnc(N)c-2c1C(=O)N)[C@@H]1O[C@@H](COC(=O)C(C)C)[C@@H](O)[C@@H]1O,0
ClC1=Nc2n(ncc2-c2cn(S(=O)(=O)c3cc([N+](=O)[O-])ccc3C)nc2)C=C1,0
ClC1=Nc2n(ncc2\C=N\N(S(=O)(=O)c2cc([N+](=O)[O-])ccc2)C)C=C1,0
ClC1=Nc2n(ncc2\C=N\N(S(=O)(=O)c2cc([N+](=O)[O-])ccc2C)C)C=C1,1
ClC1=Nc2n(ncc2\C=N\N(S(=O)(=O)c2cc(ccc2C)C#N)C)C=C1,0
Clc1c([C@H](Oc2cc(cnc2N)-c2cn(nc2)C2CC[NH2+]CC2)C)c(Cl)ccc1F,1
Clc1cc(CNc2nc(nc3n(cnc23)C(C)C)NC2CCC(O)CC2)c(O)cc1,1
Clc1cc(CNc2nc(nc3n(cnc23)C(C)C)NC2CCC([NH3+])CC2)c(O)cc1,1
Clc1cc(CNc2nc(nc3n(cnc23)C(C)C)NCC(O)(C)C)c(O)cc1,1
Clc1cc(Cl)c(Cl)cc1S(=O)(=O)Nc1cc(ccc1)C(F)(F)F,1
Clc1cc(Cl)c(OC)cc1Nc1c2cc(OC)c(OCCC[NH+]3CC[NH+](CC3)C)cc2[nH+]cc1C#N,0
Clc1cc(NS(=O)(=O)c2cc(Cl)ccc2C)ccc1Cl,1
Clc1cc(Nc2c3cc(NC(=O)\C=C\C[NH+](C)C)c(OCC)cc3[nH+]cc2C#N)ccc1OCc1ncccc1,0
Clc1cc(Nc2nc(ccn2)-c2cc(ncc2)NCCCO)ccc1,1
Clc1cc(Nc2nc(nc3n(cnc23)CC)N[C@@H]2CCCC[C@@H]2[NH3+])ccc1,1
Clc1cc(Nc2nc(ncn2)-c2cc(ncc2)NCCCO)ccc1,1
Clc1cc(Nc2ncnc3c2cc(OCCC[NH+]2CCOCC2)c(OC)c3)ccc1F,1
Clc1cc(ccc1)CNc1ncnc2n(cnc12)C1CC(NC(=O)c2nc(ccc2)C)C1,1
Clc1cc(ccc1Cl)C(=O)Nc1cc2c(cc(cc2)C(=O)Nc2sccn2)cc1,0
Clc1cc(ncc1)Nc1sc(cn1)-c1cc(cnc1)C(=O)NCC[NH3+],1
Clc1ccc(NC(=O)Nc2ccc(Oc3cc(ncc3)C(=O)NC)cc2)cc1C(F)(F)F,1
Clc1ccc(cc1)-c1nn(cc1C(=O)NC(=S)Nc1ccc(OC)cc1)-c1ccccc1,0
Clc1cccc(Cl)c1C(=O)Nc1c[nH]nc1C(=O)NC1CC[NH2+]CC1,0
