Smiles,Standard Value
Brc1n(nc2c1CCN([C@H]1COc3c(N(C)C1=O)cccc3)C2=O)Cc1ccccc1,1
Clc1c(C(=O)Nc2c[nH]nc2C(=O)NC2CCN(S(=O)(=O)c3cc(NC(=O)C=C)ccc3)CC2)c(Cl)ccc1OC,1
Clc1c(C(=O)Nc2c[nH]nc2C(=O)NC2CCN(S(=O)(=O)c3cc(NC(=O)\C=C\C[NH+](C)C)ccc3)CC2)c(Cl)ccc1OC,1
Clc1cc(Cl)c(OC)cc1Nc1c2cc(OC)c(OCCC[NH+]3CC[NH+](CC3)C)cc2[nH+]cc1C#N,0
Clc1cc(Cl)cc(Cl)c1C(=O)Nc1c[nH]nc1C(=O)NC1CCN(S(=O)(=O)c2cc(NC(=O)C=C)ccc2)CC1,1
Clc1cc(Cl)cc(Cl)c1C(=O)Nc1c[nH]nc1C(=O)NC1CCN(S(=O)(=O)c2cc(NC(=O)\C=C\C[NH+](C)C)ccc2)CC1,1
Clc1ccc(NC(=O)Nc2ccc(Oc3cc(ncc3)C(=O)NC)cc2)cc1C(F)(F)F,0
Clc1cccc(Cl)c1C(=O)Nc1c[nH]nc1C(=O)NC1CCN(CC1)C(=O)C=C,1
Clc1cccc(Cl)c1C(=O)Nc1c[nH]nc1C(=O)NC1CCN(CC1)C(=O)\C=C\C[NH+](C)C,1
Clc1cccc(Cl)c1C(=O)Nc1c[nH]nc1C(=O)NC1CCN(CC1)C(=O)c1cc(NC(=O)C=C)ccc1,1
Clc1cccc(Cl)c1C(=O)Nc1c[nH]nc1C(=O)NC1CCN(CC1)C(=O)c1cc(NC(=O)\C=C\C[NH+](C)C)ccc1,1
Clc1cccc(Cl)c1C(=O)Nc1c[nH]nc1C(=O)NC1CCN(CC1)C(=O)c1ccc(NC(=O)C=C)cc1,1
Clc1cccc(Cl)c1C(=O)Nc1c[nH]nc1C(=O)NC1CCN(CC1)C(=O)c1ccc(NC(=O)\C=C\C[NH+](C)C)cc1,1
Clc1cccc(Cl)c1C(=O)Nc1c[nH]nc1C(=O)NC1CCN(CC1)c1cc(NC(=O)\C=C\CC[NH+](C)C)ccc1,1
Clc1cccc(Cl)c1C(=O)Nc1c[nH]nc1C(=O)NC1CCN(CC1)c1ccc(NC(=O)\C=C\C)cc1,1
Clc1cccc(Cl)c1C(=O)Nc1c[nH]nc1C(=O)NC1CCN(CC1)c1ccc(NC(=O)\C=C\CC[NH+](C)C)cc1,1
Clc1cccc(Cl)c1C(=O)Nc1c[nH]nc1C(=O)NC1CCN(S(=O)(=O)c2cc(NC(=O)C=C)ccc2)CC1,1
Clc1cccc(Cl)c1C(=O)Nc1c[nH]nc1C(=O)NC1CCN(S(=O)(=O)c2cc(NC(=O)CC)ccc2)CC1,1
Clc1cccc(Cl)c1C(=O)Nc1c[nH]nc1C(=O)NC1CCN(S(=O)(=O)c2cc(NC(=O)\C=C\C[NH+](C)C)ccc2)CC1,1
Clc1cccc(Cl)c1C(=O)Nc1c[nH]nc1C(=O)NC1CCN(S(=O)(=O)c2ccc(NC(=O)C=C)cc2)CC1,1
Clc1cccc(Cl)c1C(=O)Nc1c[nH]nc1C(=O)NC1CCN(S(=O)(=O)c2ccc(NC(=O)\C=C\C[NH+](C)C)cc2)CC1,1
Clc1cccc(Cl)c1C(=O)Nc1c[nH]nc1C(=O)NC1CC[NH+](CC1)Cc1cc(NC(=O)CC)ccc1,1
Clc1cccc(Cl)c1C(=O)Nc1c[nH]nc1C(=O)NC1CC[NH+](CC1)Cc1cc(NC(=O)\C=C\C[NH+](C)C)ccc1,1
Clc1cccc(Cl)c1C(=O)Nc1c[nH]nc1C(=O)NC1CC[NH+](CC1)Cc1ccc(NC(=O)C=C)cc1,1
Clc1cccc(Cl)c1C(=O)Nc1c[nH]nc1C(=O)NC1CC[NH+](CC1)Cc1ccc(NC(=O)\C=C\C[NH+](C)C)cc1,1
Clc1cccc(Cl)c1C(=O)Nc1c[nH]nc1C(=O)NC1CC[NH2+]CC1,1
Clc1cccc(Cl)c1C(=O)Nc1c[nH]nc1C(=O)NCc1cc(NC(=O)\C=C\C[NH+](C)C)ccc1,1
Clc1cccc(Cl)c1C(=O)Nc1c[nH]nc1C(=O)NCc1ccc(NC(=O)\C=C\C[NH+](C)C)cc1,1
Clc1cccc(Cl)c1C(=O)Nc1c[nH]nc1C(=O)N[C@@H]1CCCN(C1)C(=O)C=C,1
Clc1cccc(Cl)c1C(=O)Nc1c[nH]nc1C(=O)N[C@@H]1CCCN(C1)C(=O)\C=C\C[NH+](C)C,1
Clc1cccc(Cl)c1C(=O)Nc1c[nH]nc1C(=O)N[C@@H]1CCCN(S(=O)(=O)c2cc(NC(=O)C=C)ccc2)C1,1
Clc1cccc(Cl)c1C(=O)Nc1c[nH]nc1C(=O)N[C@@H]1CCN(C1)c1cc(NC(=O)\C=C\CC[NH+](C)C)ccc1,1
Clc1cccc(Cl)c1C(=O)Nc1c[nH]nc1C(=O)N[C@@H]1CCN(C1)c1ccc(NC(=O)\C=C\CC[NH+](C)C)cc1,1
Clc1cccc(Cl)c1C(=O)Nc1c[nH]nc1C(=O)N[C@@H]1CCN(S(=O)(=O)c2cc(NC(=O)\C=C\C)ccc2)C1,1
Clc1cccc(Cl)c1C(=O)Nc1c[nH]nc1C(=O)N[C@@H]1CCN(S(=O)(=O)c2ccc(NC(=O)\C=C\CC[NH+](C)C)cc2)C1,1
Clc1cccc(Cl)c1C(=O)Nc1c[nH]nc1C(=O)N[C@@H]1CC[NH+](C1)Cc1cc(NC(=O)\C=C\C)ccc1,1
Clc1cccc(Cl)c1C(=O)Nc1c[nH]nc1C(=O)N[C@@H]1CC[NH+](C1)Cc1ccc(NC(=O)\C=C\C)cc1,1
Clc1cccc(Cl)c1C(=O)Nc1c[nH]nc1C(=O)N[C@H]1CCCN(C1)C(=O)C=C,1
Clc1cccc(Cl)c1C(=O)Nc1c[nH]nc1C(=O)N[C@H]1CCCN(C1)C(=O)\C=C\C[NH+](C)C,1
Clc1cccc(Cl)c1C(=O)Nc1c[nH]nc1C(=O)N[C@H]1CCN(C1)c1ccc(NC(=O)\C=C\C)cc1,1
