Smiles,Standard Value
BrC1=Cc2c(nc(nc2)Nc2ccc(N3CC[NH2+]CC3)cc2)N(C1=O)C1CCCC1,1
BrC1=Cc2c(nc(nc2)Nc2ccccc2)N(C1=O)C1CCCC1,1
BrC1=Cc2c(nc(nc2)Nc2ncc(N3CC[NH2+]CC3)cc2)N(C1=O)C1CCCC1,1
BrC1=Cc2c(nc(nc2)Nc2ncc(cc2)[C@H]2[NH+](CCC2)C)N(C1=O)C1CCCC1,1
BrC1=Cc2c(nc(nc2)Nc2ncccc2)N(C1=O)C1CCCC1,1
BrC=1C(=O)N(c2nc(ncc2C=1C)Nc1ccc(N2CC([NH2+]C(C2)C)C)cc1)C1CCCC1,1
BrC=1C(=O)N(c2nc(ncc2C=1C)Nc1ccc(N2CC([NH2+]CC2)(C)C)cc1)C1CCCC1,1
BrC=1C(=O)N(c2nc(ncc2C=1C)Nc1ccc(N2CC[NH2+]CC2)cc1)C1CCCC1,1
BrC=1C(=O)N(c2nc(ncc2C=1C)Nc1ncc(N(CCOC)CCOC)cc1)C1CCCC1,0
BrC=1C(=O)N(c2nc(ncc2C=1C)Nc1ncc(N2CC([NH2+]C(C2)C)C)cc1)C1CCCC1,1
BrC=1C(=O)N(c2nc(ncc2C=1C)Nc1ncc(N2CCC(O)CC2)cc1)C1CCCC1,1
BrC=1C(=O)N(c2nc(ncc2C=1C)Nc1ncc(N2CCOCC2)cc1)C1CCCC1,0
BrC=1C(=O)N(c2nc(ncc2C=1C)Nc1ncc(N2CC[NH+](CC2)C)cc1)C1CCCC1,1
BrC=1C(=O)N(c2nc(ncc2C=1C)Nc1ncc(N2CC[NH2+]CC2)cc1)C1CCCC1,1
Brc1[nH]c(C)c(-c2nc(ncc2)Nc2ccc(F)cc2)c1C,0
Brc1[nH]nc(C(C)C)c1-c1nc(ncc1)NC1CC[NH+](CC1)C,1
Brc1c2[nH]c3c(c4c(c5c3ccc3c5n(cc3)C)C(=O)NC4=O)c2ccc1,1
Brc1c2[nH]c3c(c4c(c5c6c([nH]c35)cccc6)C(=O)NC4=O)c2ccc1,0
Brc1c2[nH]cc(c2c(O)cc1)-c1nc(ncc1)N,0
Brc1c2c3c4c(c5c(c3[nH]c2ccc1)ccc1c5n(cc1)C)C(=O)NC4=O,1
Brc1c2c3c4c(c5c6c([nH]c5c3[nH]c2ccc1)cccc6)C(=O)NC4=O,1
Brc1c\2c([nH]c1)C(=O)NCC/C/2=C/1\NC([NH3+])NC\1=O,0
Brc1c\2c([nH]c1Br)C(=O)NCC/C/2=C/1\NC([NH3+])NC\1=O,0
Brc1c\2c(ccc1)C(=O)NC(=O)/C/2=C\NCc1cc(O)c(OC)cc1,1
Brc1cc(F)c(C(=O)c2c[nH]c-3nncc-3c2OCCCC)c(F)c1,1
Brc1cc(cc(-c2cc(cc(Br)c2O)C\C(=N/O)\C(=O)NCCc2cc(Br)c(O)cc2)c1O)C\C(=N/O)\C(=O)NCCc1cc(Br)c(Oc2cc(cc(Br)c2O)C\C(=N/O)\C(=O)NCCc2cc(Br)c(O)cc2)cc1,0
Brc1cc(cc(-c2cc(cc(Br)c2O)C\C(=N\O)\C(=O)NCCc2cc(Br)c(O)cc2)c1O)C\C(=N\O)\C(=O)NCCc1cc(Br)c(O)cc1,0
Brc1cc(cc(Nc2nc(ccn2)-c2c3n(nc2)N=CC=C3)c1)C(F)(F)F,1
Brc1cc(ccc1)C(=O)N(CCc1c2c([nH]c1)cccc2)C,0
Brc1cc(ccc1)CC(=O)Nc1n[nH]c2c1cc(N1S(=O)(=O)CCC1)cc2,0
Brc1cc(ccc1)CNc1ncnc2n(cnc12)C1CC(NC(=O)c2nc(ccc2)C)C1,1
Brc1cc(ccc1N(CC#N)c1ncnc(Nc2ccc(OCC(O)C[NH+](C)C)cc2)c1)C,1
Brc1cc2C\C(=N/O)\C(=O)NCCc3cc(Br)c(Oc4cc(CCNC(=O)/C(=N/O)/Cc5cc(Br)c(Oc(c2)c1O)c(Br)c5)ccc4O)c(Br)c3,0
Brc1cc2C\C(=N/O)\C(=O)NCCc3cc(Br)c(Oc4cc(cc(Br)c4O)CCNC(=O)/C(=N/O)/Cc4cc(Br)c(Oc(c2)c1O)c(Br)c4)c(Br)c3,0
Brc1cc2C\C(=N/O)\C(=O)N\C=C\c3cc(Br)c(Oc4cc(cc(Br)c4O)CCNC(=O)/C(=N/O)/Cc4cc(Br)c(Oc(c2)c1O)cc4)cc3,0
Brc1cc2NC(=O)/C(/c2cc1)=C/1\Nc2c(cccc2)\C\1=N/O,1
Brc1cc2[nH]c3c(c4c(c5c3ccc3c5n(cc3)C)C(=O)NC4=O)c2cc1,1
Brc1cc2[nH]c3c(c4c(c5c6c([nH]c35)cc(OC)cc6)C(=O)NC4=O)c2cc1,1
Brc1cc2[nH]c3c(c4c(c5c6c([nH]c35)cccc6)C(=O)NC4=O)c2cc1,1
Brc1cc2[nH]c3c(c4c(c5c6c(n(c35)C)cccc6)C(=O)NC4=O)c2cc1,1
Brc1cc2[nH]c3c(c4c(c5c6c7n(CC(Cc7ccc6)CO)c35)C(=O)NC4=O)c2cc1,1
Brc1cc2[nH]c3c(c4c(c5c6c7n(CCCc7ccc6)c35)C(=O)NC4=O)c2cc1,1
Brc1cc2[nH]cc(c2cc1)C1=C(c2c3c(n(c2)C)cccc3)C(=O)NC1=O,1
Brc1cc2c(cc1)\C(=C\Nc1ccc(N3CC[NH+](CC3)C)cc1)\C(=O)NC2=O,0
Brc1cc2c(n(cc2C2=C(c3c4c(oc3)cc(cc4)CO)C(=O)NC2=O)C)cc1,0
