Smiles,Standard Value
BrC1=Cc2c(nc(nc2)Nc2ccc(N3CC[NH2+]CC3)cc2)N(C1=O)C1CCCC1,1
BrC1=Cc2c(nc(nc2)Nc2ccccc2)N(C1=O)C1CCCC1,1
BrC1=Cc2c(nc(nc2)Nc2ncc(N3CC[NH2+]CC3)cc2)N(C1=O)C1CCCC1,0
BrC=1C(=Nc2n(ncc2-c2cccnc2)C=1N)C1CCC[NH2+]C1,1
BrC=1C(=Nc2n(ncc2-c2ccoc2)C=1N)C1CCC[NH2+]C1,1
BrC=1C(=Nc2n(ncc2-c2cn(nc2)C)C=1N)C1CCC[NH2+]C1,1
BrC=1C(=Nc2n(ncc2-c2cn(nc2)C)C=1N)C1CC[NH2+]C1,1
BrC=1C(=Nc2n(ncc2-c2cn(nc2)C)C=1N)C1CC[NH2+]CC1,1
BrC=1C(=Nc2n(ncc2-c2cn(nc2)C)C=1N)C1OCC[NH2+]C1,0
BrC=1C(=Nc2n(ncc2-c2cn(nc2)C)C=1N)C1SCC[NH2+]C1,1
BrC=1C(=Nc2n(ncc2-c2cn(nc2)C)C=1N)C1[NH2+]CCCC1,0
BrC=1C(=Nc2n(ncc2-c2cn(nc2)C)C=1N)CC1CCC[NH2+]C1,0
BrC=1C(=Nc2n(ncc2-c2cn(nc2)C)C=1N)CC1CC[NH2+]C1,1
BrC=1C(=Nc2n(ncc2-c2cn(nc2)C)C=1N)CC1CC[NH2+]CC1,0
BrC=1C(=Nc2n(ncc2-c2cn(nc2)C)C=1N)CC[NH3+],1
BrC=1C(=Nc2n(ncc2-c2cn(nc2)C)C=1N)C[C@@H]1C[C@H]([NH3+])CCC1,1
BrC=1C(=Nc2n(ncc2-c2cn(nc2)C)C=1N)c1cccnc1,0
BrC=1C(=Nc2n(ncc2-c2sc(nc2)C)C=1N)C1CCC[NH2+]C1,1
BrC=1C(=O)N(c2nc(ncc2C=1C)Nc1ccc(N2CC([NH2+]C(C2)C)C)cc1)C1CCCC1,0
BrC=1C(=O)N(c2nc(ncc2C=1C)Nc1ccc(N2CC([NH2+]CC2)(C)C)cc1)C1CCCC1,0
BrC=1C(=O)N(c2nc(ncc2C=1C)Nc1ccc(N2CC[NH2+]CC2)cc1)C1CCCC1,1
BrC=1C=Cc2n(C=1)c(cn2)\C=N\N(S(=O)(=O)c1cc([N+](=O)[O-])ccc1C)C,1
BrCC(=O)N(S(=O)(=O)c1cc(Cl)sc1Cl)c1ccccc1,0
Brc1[nH]c(C)c(-c2nc(ncc2)Nc2ccc(F)cc2)c1C,1
Brc1[nH]c2c(c1)/C(/CCNC2=O)=C/1\NC(=NC\1=O)N,1
Brc1[nH]nc(C(C)C)c1-c1nc(ncc1)NC1CC[NH+](CC1)C,0
Brc1c(Br)c(Br)c2[nH]c(nc2c1Br)N(C)C,0
Brc1c2N(C)C(NC(=O)c2sc1-c1cn[nH]c1)(C)C,1
Brc1c2[NH+]=C(NC3CCC([NH3+])CC3)C=C(n2nc1)Nc1cc(Cl)c(F)cc1,1
Brc1c2[NH+]=C(NC3CCC([NH3+])CC3)C=C(n2nc1)Nc1cc(Cl)c(S(=O)(=O)N(C)C)cc1,1
Brc1c2[NH+]=C(NC3CCC([NH3+])CC3)C=C(n2nc1)Nc1ccc(S(=O)(=O)N(C)C)cc1,1
Brc1c2[NH+]=C(NC3CCC([NH3+])CC3)C=C(n2nc1)Nc1ccc(S(=O)(=O)c2ccccc2)cc1,1
Brc1c2[nH]c3c(c4c(c5c6c([nH]c35)cccc6)C(=O)NC4=O)c2ccc1,0
Brc1c2[nH]cc(c2c(O)cc1)-c1nc(ncc1)N,0
Brc1c2c3c4c(c5c(c3[nH]c2ccc1)ccc1c5n(cc1)C)C(=O)NC4=O,0
Brc1c2c3c4c(c5c6c([nH]c5c3[nH]c2ccc1)cccc6)C(=O)NC4=O,1
Brc1c2n(nc1)C(N)=CC(=N2)C1CCC[NH2+]C1,1
Brc1c2n(nc1)C(N)=CC(=N2)c1ccccc1,1
Brc1c2n(nc1)C(NCc1ccc[n+]([O-])c1)=CC(=N2)c1ccccc1F,1
Brc1c2n(nc1)C(NCc1cccnc1)=CC(=N2)c1ccc(cc1)-c1cc(CCC#N)c(cc1)C(=O)N,1
Brc1c2n(nc1)C(NCc1cccnc1)=CC(=N2)c1ccc(cc1)-c1cc(O)c(cc1)C(=O)N,1
Brc1c2n(nc1)C(NCc1cccnc1)=CC(=N2)c1ccc(cc1)-c1ccc(N)cc1,1
Brc1c2n(nc1)C(NCc1cccnc1)=CC(=N2)c1ccc(cc1)-c1ccc(O)cc1,1
Brc1c2n(nc1)C(NCc1cccnc1)=CC(=N2)c1ccc(cc1)-c1ccc(cc1)C(=O)N,1
Brc1c2n(nc1)C(NCc1cccnc1)=CC(=N2)c1ccc(cc1)-c1ccc(cc1)C(=O)N(C)C,1
Brc1c2n(nc1)C(NCc1cccnc1)=CC(=N2)c1ccc(cc1)-c1ccc(cc1)CO,1
Brc1c2n(nc1)C(NCc1cccnc1)=CC(=N2)c1ccc(cc1)-c1ccc(cc1O)C(=O)N,1
Brc1c2n(nc1)C(NCc1cccnc1)=CC(=N2)c1ccc(cc1)-c1ccccc1,1
Brc1c2nc(nc1)Nc1cc(S(=O)(=O)NCCCN2)ccc1,1
Brc1c[nH+]c2[nH]c(nc2c1NCC(O)CNC(=O)C1CCC1)-c1ccccc1OC,0
Brc1c[nH+]c2[nH]c(nc2c1NCC1CC[NH2+]CC1)-c1ccc(OC)cc1,1
Brc1c[nH+]c2[nH]c(nc2c1NCCCN(C(=O)C1CCC1)C)-c1ccc(OC)cc1,1
