Smiles,Standard Value
Brc1cc2c(n(cc2C2=C(c3c4c(oc3)cc(cc4)CO)C(=O)NC2=O)C)cc1,0
Brc1n(nc2c1CCN([C@H]1COc3c(N(C)C1=O)cccc3)C2=O)Cc1ccccc1,1
Clc1cc(C(=O)N(OC)C)c(NC(C(=O)Nc2sc3c(n2)c(cc2[nH]ncc23)C(F)(F)F)(C)C)cc1,1
Clc1cc(C(=O)NCC(=O)N)c(NC(C(=O)Nc2sc3c(n2)c(cc2[nH]ncc23)C(F)(F)F)(C)C)cc1,1
Clc1cc(ccc1Cl)C(=O)Nc1cc2c(cc(cc2)C(=O)Nc2sccn2)cc1,0
Clc1cc2n(cc(c2cc1F)C1=C(c2c3c(oc2)cc(cc3)CO)C(=O)NC1=O)C,0
Clc1ccc(N2CCCC2C(=O)Nc2sc3c4c([nH]nc4)ccc3n2)cc1,1
Clc1ccc(NC(=O)Nc2ccc(Oc3cc(ncc3)C(=O)NC)cc2)cc1C(F)(F)F,0
Clc1ccc(NC(C(=O)Nc2sc3c(n2)c(cc2[nH]ncc23)C(F)(F)F)(C)C)cc1C(=O)N,1
Clc1ccc(NC(C(=O)Nc2sc3c(n2)c(cc2[nH]ncc23)C(F)(F)F)(C)C)cc1C(=O)NC,1
Clc1ccc(NC(C(=O)Nc2sc3c(n2)c(cc2[nH]ncc23)C(F)(F)F)(C)C)cc1C(=O)NC1CC1,1
Clc1ccc(NC(C(=O)Nc2sc3c(n2)c(cc2[nH]ncc23)C(F)(F)F)(C)C)cc1C(=O)NCC,1
Clc1ccc(NC(C(=O)Nc2sc3c(n2)c(cc2[nH]ncc23)C(F)(F)F)(C)C)cc1C(=O)NCC(=O)N,1
Clc1ccc(NC(C(=O)Nc2sc3c(n2)c(cc2[nH]ncc23)C(F)(F)F)(C)C)cc1C(=O)NCC(=O)[O-],1
Clc1ccc(NC(C(=O)Nc2sc3c(n2)c(cc2[nH]ncc23)C(F)(F)F)(C)C)cc1C(=O)NCCC(=O)[O-],1
Clc1ccc(NC(C(=O)Nc2sc3c(n2)c(cc2[nH]ncc23)C(F)(F)F)(C)C)cc1C(=O)NCCCC(=O)[O-],1
Clc1ccc(NC(C(=O)Nc2sc3c(n2)c(cc2[nH]ncc23)C(F)(F)F)(C)C)cc1C(=O)NCCCS(=O)(=O)N,1
Clc1ccc(NC(C(=O)Nc2sc3c(n2)c(cc2[nH]ncc23)C(F)(F)F)(C)C)cc1C(=O)NOCc1ccccc1,1
Clc1ccc(NC(C(=O)Nc2sc3c(n2)c(cc2[nH]ncc23)C(F)(F)F)(C)C)cc1C(=O)[O-],1
Clc1ccc(NC(C(=O)Nc2sc3c(n2)c(cc2[nH]ncc23)C(F)(F)F)(C)C)cc1N1C=CNC1=O,1
Clc1ccc(NC(C(=O)Nc2sc3c(n2)c(cc2[nH]ncc23)C(F)(F)F)(C)C)cc1NC(=O)C,1
Clc1ccc(NC(C(=O)Nc2sc3c(n2)c(cc2[nH]ncc23)C(F)(F)F)(C)C)cc1NC(=O)C1CC1,1
Clc1ccc(NC(C(=O)Nc2sc3c(n2)c(cc2[nH]ncc23)C(F)(F)F)(C)C)cc1NC(=O)CC,1
