Smiles,Standard Value
Brc1[nH]c2c(c1)/C(/CCNC2=O)=C/1\NC(=NC\1=O)N,1
Brc1c2CN(c3nc(sc3)-c3ccncc3)C(=O)Nc2ccc1,1
Brc1c2N(C)C(=O)/C(/c2ccc1)=C/1\Nc2c(cc(cc2)C(=O)[O-])\C\1=N/O,1
Brc1c2NC(=O)/C(/c2ccc1)=C/1\Nc2c(cc(cc2)CO)\C\1=N/O,1
Brc1c2NC(=O)/C(/c2ccc1)=C/1\Nc2c(cc(cc2)\C=N/O)\C\1=N/O,1
Brc1c2NC(=O)/C(/c2ccc1)=C/1\Nc2c(cc(cc2)\C=N\O)C\1=O,1
Brc1c2[nH]c(O)c(c2ccc1)-c1[nH]c2c(cccc2)c1N=O,0
Brc1c2[nH]c(O)c(c2ccc1)C/1=Nc2c(cccc2)\C\1=N/OCCBr,0
Brc1c2[nH]c-3c(CC(=O)Nc4c-3cccc4)c2ccc1,0
Brc1c2[nH]cc(c2c(O)cc1)-c1nc(ncc1)N,1
Brc1c2[nH]cc(c2ccc1)-c1nc(ncc1)N,0
Brc1c2[nH]cc(c2ccc1)-c1nc(ncc1-c1ccc(NC(=O)C)cc1)N,0
Brc1c2c([nH]cc2-c2nc(ncc2)N)ccc1,0
Brc1c2c([nH]cc2-c2nc(ncc2-c2cc(OC)ccc2)N)ccc1,0
Brc1c2c([nH]cc2-c2nc(ncc2-c2ccc(cc2)C(=O)C)N)ccc1,0
Brc1c2c([nH]cc2-c2nc(ncc2-c2ccc(cc2)C(F)(F)F)N)ccc1,0
Brc1c2n(CC(O)CNC2=O)c2c1ccc(OC)c2,1
Brc1c2n(CC(O)CNC2=O)c2c1cccc2,0
Brc1cc(O)c2c([nH]cc2-c2nc(ncc2)N)c1,1
Brc1cc(ccc1)CNc1ncnc2n(cnc12)C1CC(NC(=O)c2nc(ccc2)C)C1,1
Brc1cc(ncc1)NC(=O)Nc1c2c(ccc1)C(=O)N1C2CCCC1,1
Brc1cc2-c3[nH]c4c(c3CC(=O)Nc2cc1)cccc4,0
Brc1cc2-c3[nH]c4c(cc(Br)cc4)c3CC(=O)Nc2cc1,0
Brc1cc2-c3[nH]c4c(cc([N+](=O)[O-])cc4)c3CC(=O)Nc2cc1,1
Brc1cc2-c3[nH]c4c(cc(cc4)C(F)(F)F)c3CC(=O)Nc2cc1,0
Brc1cc2NC(=O)/C(/c2cc1)=C/1\Nc2c(cccc2)\C\1=N/O,1
Brc1cc2NC(=O)/C(/c2cc1)=C/1\Nc2c(cccc2)\C\1=N/OC(=O)C,0
Brc1cc2NC(=O)N(Cc2cc1)c1nc(sc1)-c1ccncc1,1
Brc1cc2[nH]c(-c3c4c([nH]c3O)cccc4)c(N=O)c2cc1,0
Brc1cc2[nH]c(O)c(c2cc1)C/1=Nc2c(cccc2)\C\1=N/OC,0
Brc1cc2[nH]c(O)c(c2cc1)C1=Nc2c(cccc2)C1=O,0
