Smiles,Standard Value
Brc1cc2c3CC(=O)Nc4c(-c3[nH]c2cc1)cccc4OC,0
Brc1cc2c3CC(=O)Nc4c(-c3n(c2cc1)C(C)=C)cccc4,0
Brc1cc2c3CC(=O)Nc4c(-c3n(c2cc1)C(OC(C)(C)C)=O)cccc4,0
Brc1cc2c3CC(=O)Nc4c(-c3n(c2cc1)C)cccc4,0
Brc1cc2c3CC(=O)Nc4c(-c3n(c2cc1)CC(OC)=O)cccc4,0
Brc1cc2c3CC(=O)Nc4c(-c3n(c2cc1)CC)cccc4,0
Brc1cc2c3CC(=O)Nc4c(-c3n(c2cc1)CC=C)cccc4,0
Brc1cc2c3CC(=O)Nc4c(-c3n(c2cc1)CCO)cccc4,0
Brc1cc2c3CC(=O)Nc4c(-c3n(c2cc1)COC(=O)C)cccc4,0
Brc1cc2c3CC(=O)Nc4c(cc(OC)cc4)-c3[nH]c2cc1,1
Brc1cc2c3CC(=O)Nc4c(nccc4)-c3[nH]c2cc1,0
Brc1cc2c3CC(=O)Nc4c(scc4)-c3[nH]c2cc1,1
Brc1cc2c3CC(=O)Nc4cc(O)c(O)cc4-c3[nH]c2cc1,0
Brc1cc2c3CC(=O)Nc4cc(O)ccc4-c3[nH]c2cc1,1
Brc1cc2c3CC(=O)Nc4cc(OC)c(OC)cc4-c3[nH]c2cc1,1
Brc1cc2c3CC(=O)Nc4cc(OCCCC[NH3+])ccc4-c3[nH]c2cc1,1
Brc1cc2c3CC(=O)Nc4ncccc4-c3[nH]c2cc1,0
Brc1cc2c3CC(S)=Nc4c(-c3[nH]c2cc1)cccc4,0
Brc1cc2c3CC(SC)=Nc4c(-c3[nH]c2cc1)cccc4,0
Brc1cc2c3CCCc4c(-c3[nH]c2cc1)cccc4,0
Brc1cc2c3c([nH]c2cc1)-c1c(N(C(OC(C)(C)C)=O)C(=O)C3C(OC(C)(C)C)=O)cccc1,0
Brc1cc2c3c(n(c2cc1)C(OC(C)(C)C)=O)-c1c(N(C(OC(C)(C)C)=O)C(=O)C3C(OC(C)(C)C)=O)cccc1,0
Brc1cc2c3c4c(c5c6c([nH]c5c3[nH]c2cc1)cccc6)C(=O)NC4=O,0
Brc1cc2cc([nH]c2cc1)-c1nc(ncc1)N,0
