Smiles,Standard Value
BrCC(=O)N(S(=O)(=O)c1cc(Cl)sc1Cl)c1ccccc1,0
Brc1[nH]nc(C(C)C)c1-c1nc(ncc1)NC1CC[NH+](CC1)C,1
Brc1cc2c(n(cc2C2=C(c3c4c(oc3)cc(cc4)CO)C(=O)NC2=O)C)cc1,1
Brc1cnc(nc1-c1c[nH]nc1C(C)C)NC1CC[NH+](CC1)C,1
Brc1n(nc2c1CCN([C@H]1COc3c(N(C)C1=O)cccc3)C2=O)Cc1ccccc1,1
Clc1cc(Cl)c(Cl)cc1S(=O)(=O)Nc1cc(ccc1)C(F)(F)F,0
Clc1cc(NS(=O)(=O)c2cc(Cl)ccc2C)ccc1Cl,0
Clc1cc(Nc2nc(NC3CCC([NH+](C)C)CC3)c(cn2)-c2onc(c2)C)cc(Cl)c1,0
Clc1cc(Nc2nc(NC3CCC([NH+](C)C)CC3)c(cn2)C(=O)NC2CC[NH+](CC2)C)cc(Cl)c1,0
Clc1cc(Nc2nc(N[C@@H]3COC[C@H]3O)c(cn2)C(=O)NC2CC[NH+](CC2)C)cc(Cl)c1,0
Clc1cc(Nc2nc(ncn2)-c2cc(ncc2)NCCCO)ccc1,1
Clc1cc(ccc1Cl)C(=O)Nc1cc2c(cc(cc2)C(=O)Nc2sccn2)cc1,0
Clc1cc2n(cc(c2cc1F)C1=C(c2c3c(oc2)c(OC)ccc3)C(=O)NC1=O)C,0
Clc1cc2n(cc(c2cc1F)C1=C(c2c3c(oc2)cc(cc3)CO)C(=O)NC1=O)C,0
Clc1ccc(Nc2nc-3c(CCc4c-3n(nc4C(=O)N)C)cn2)cc1,1
Clc1ccc(cc1)-c1nn(cc1C(=O)NC(=S)Nc1ccc(OC)cc1)-c1ccccc1,1
Clc1cccc(Cl)c1C(=O)Nc1c[nH]nc1C(=O)NC1CC[NH2+]CC1,1
Clc1cccc(Cl)c1\C=C\C=1Oc2c(C(=O)C=1)c(O)cc(O)c2[C@H]1CC[NH+](C[C@H]1O)C,1
Clc1ccccc1C=1Oc2c(C(=O)C=1)c(O)cc(O)c2[C@H]1CC[NH+](C[C@H]1O)C,1
Clc1sc(Cl)cc1S(=O)(=O)N(SC(Cl)(Cl)Cl)c1ccc(cc1)C,0
Clc1sc(Cl)cc1S(=O)(=O)Nc1ccc(cc1)C,0
Fc1cc(Nc2nc(-c3cn(nc3)C(C)C)c(cn2)C)ccc1N1CCC([NH+](CCO)C)CC1,1
